Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,0.985849330360953,0.886762360446571,0.8401675485008818,0.4412168029919105,0.43161313605196683,0.5655172413793104,0.713527851458886,0.79,0.4880952380952381,0.9074074074074074,0.6721311475409836,0.8200836820083682,0.6977513227513228,"[0.8200836820083682, 0.6721311475409836]","[0.9074074074074074, 0.4880952380952381]","[0.8615384615384616, 0.5655172413793104]","[0.9074074074074074, 0.4880952380952381]"
Gradient Boosting,2,1,0.9835280453644871,0.8788368336025848,0.7978559648158329,0.40231305266474443,0.4016123122022719,0.5644171779141104,0.7005993935547563,0.7625418060200669,0.5411764705882353,0.8504672897196262,0.5897435897435898,0.8235294117647058,0.6958218801539306,"[0.8235294117647058, 0.5897435897435898]","[0.8504672897196262, 0.5411764705882353]","[0.8367816091954023, 0.5644171779141104]","[0.8504672897196262, 0.5411764705882353]"
Gradient Boosting,3,1,0.987972762045248,0.9030206677265501,0.7745670995670996,0.25279678964838026,0.2324412614650082,0.3880597014925373,0.60528526200168,0.7248322147651006,0.29545454545454547,0.9047619047619048,0.5652173913043478,0.753968253968254,0.6001082251082251,"[0.753968253968254, 0.5652173913043478]","[0.9047619047619048, 0.29545454545454547]","[0.8225108225108225, 0.3880597014925373]","[0.9047619047619048, 0.29545454545454547]"
Gradient Boosting,4,1,0.9875074687343328,0.9022082018927445,0.8133484162895928,0.4110239812499494,0.4091968220993234,0.5605095541401274,0.7040958366727127,0.7737704918032787,0.5238095238095238,0.8687782805429864,0.6027397260273972,0.8275862068965517,0.6962939021762551,"[0.8275862068965517, 0.6027397260273972]","[0.8687782805429864, 0.5238095238095238]","[0.847682119205298, 0.5605095541401274]","[0.8687782805429864, 0.5238095238095238]"
Gradient Boosting,5,1,0.986420345979748,0.8705501618122977,0.8240987983978638,0.4276390967654957,0.42148019831551276,0.5637583892617449,0.70917225950783,0.7818791946308725,0.5,0.8925233644859814,0.6461538461538462,0.8197424892703863,0.6962616822429907,"[0.8197424892703863, 0.6461538461538462]","[0.8925233644859814, 0.5]","[0.854586129753915, 0.5637583892617449]","[0.8925233644859814, 0.5]"
Gradient Boosting,6,2,0.9863170530318275,0.8921095008051529,0.7848849263943602,0.426643876050345,0.41994284604500176,0.5714285714285714,0.7081861958266453,0.7722772277227723,0.5054945054945055,0.8867924528301887,0.6571428571428571,0.8068669527896996,0.6961434791623471,"[0.8068669527896996, 0.6571428571428571]","[0.8867924528301887, 0.5054945054945055]","[0.8449438202247191, 0.5714285714285714]","[0.8867924528301887, 0.5054945054945055]"
Gradient Boosting,7,2,0.9856086639591795,0.8833333333333333,0.8288692027097447,0.4365407920792525,0.41508341056533826,0.5584415584415584,0.7019480519480519,0.7710437710437711,0.45263157894736844,0.9207920792079208,0.7288135593220338,0.7815126050420168,0.6867118290776446,"[0.7815126050420168, 0.7288135593220338]","[0.9207920792079208, 0.45263157894736844]","[0.8454545454545455, 0.5584415584415584]","[0.9207920792079208, 0.45263157894736844]"
Gradient Boosting,8,2,0.984585866351875,0.8704,0.7991161333631684,0.40839550755046183,0.40683879972086534,0.5584415584415584,0.702987595364277,0.7733333333333333,0.524390243902439,0.8669724770642202,0.5972222222222222,0.8289473684210527,0.6956813604833296,"[0.8289473684210527, 0.5972222222222222]","[0.8669724770642202, 0.524390243902439]","[0.8475336322869955, 0.5584415584415584]","[0.8669724770642202, 0.524390243902439]"
Gradient Boosting,9,2,0.9893498627420563,0.9028213166144201,0.7845778655208454,0.374171170146198,0.3741146168705731,0.5384615384615384,0.6870389884088515,0.7575757575757576,0.5316455696202531,0.8394495412844036,0.5454545454545454,0.8318181818181818,0.6855475554523284,"[0.8318181818181818, 0.5454545454545454]","[0.8394495412844036, 0.5316455696202531]","[0.8356164383561644, 0.5384615384615384]","[0.8394495412844036, 0.5316455696202531]"
Gradient Boosting,10,2,0.98123071707069,0.88125,0.8357834757834759,0.4795653302553324,0.4749658002735978,0.5957446808510638,0.7365820178448867,0.8118811881188119,0.5384615384615384,0.9066666666666666,0.6666666666666666,0.85,0.7225641025641025,"[0.85, 0.6666666666666666]","[0.9066666666666666, 0.5384615384615384]","[0.8774193548387097, 0.5957446808510638]","[0.9066666666666666, 0.5384615384615384]"
