,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
t2_wavelet2-HH_glszm_LargeAreaEmphasis,0.5837285909712723,<,425156.8145025295,0.5506976744186046,0.5505882352941176,mann-whitney U-test,4.1883234673671727e-07
t2_log-sigma-3-mm-3D_glszm_ZoneVariance,0.5837198358413133,<,67822.71203383313,0.5748837209302325,0.5741176470588235,mann-whitney U-test,4.1999622606824425e-07
adc_wavelet2-HH_firstorder_Energy,0.583697948016416,<,11321996.486168291,0.5646511627906977,0.5647058823529412,mann-whitney U-test,4.229195925509292e-07
adc_squareroot_glcm_JointEnergy,0.5835950752393981,<,0.0140117941950929,0.5581395348837209,0.5576470588235294,mann-whitney U-test,4.3692441425022115e-07
adc_wavelet2-LH_firstorder_Kurtosis,0.5835885088919289,<,5.342102107752438,0.5627906976744186,0.5623529411764706,mann-whitney U-test,4.3783336846635494e-07
dwi_wavelet-HL_glrlm_RunLengthNonUniformity,0.5835819425444596,<,900.2426990165625,0.5572093023255814,0.5552941176470588,mann-whitney U-test,4.3874414674662495e-07
t2_wavelet-LH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5834834473324214,<,2038.9716082406487,0.5590697674418604,0.56,mann-whitney U-test,4.5262711553612094e-07
t2_original_glszm_LargeAreaLowGrayLevelEmphasis,0.5834790697674419,>,2.315590156835217,0.5623529411764706,0.5627906976744186,mann-whitney U-test,4.532538703126549e-07
dwi_logarithm_glszm_ZoneVariance,0.5834790697674419,<,308.270982619877,0.5618604651162791,0.5623529411764706,mann-whitney U-test,4.532538703126549e-07
dwi_wavelet2-HL_glszm_LargeAreaEmphasis,0.5834703146374829,<,415.392609699769,0.5646511627906977,0.5647058823529412,mann-whitney U-test,4.5450989231290545e-07
dwi_log-sigma-0-6-mm-3D_glcm_SumSquares,0.5834659370725034,>,0.2533585996031715,0.5647058823529412,0.5655813953488372,mann-whitney U-test,4.5513916168617886e-07
t2_wavelet-LH_glszm_SmallAreaLowGrayLevelEmphasis,0.583461559507524,>,0.0071864476570523,0.5694117647058824,0.573953488372093,mann-whitney U-test,4.5576927141011314e-07
adc_original_shape_Flatness,0.583435294117647,<,0.7279104115797174,0.573953488372093,0.5741176470588235,mann-whitney U-test,4.595676375823663e-07
t2_wavelet-LH_glrlm_ShortRunLowGrayLevelEmphasis,0.5834046511627907,>,0.0083611352627711,0.5576470588235294,0.5572093023255814,mann-whitney U-test,4.64037662063907e-07
dwi_log-sigma-3-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.5833718194254446,>,0.2262865834011788,0.5670588235294117,0.5665116279069767,mann-whitney U-test,4.6887350557773947e-07
